In/Out,Raggruppamento,Descrizione raggruppamento
X,pGI e Allegati,Verifica, tramite note e commenti, del pGI e suoi allegati.
X,Elaborati progettuali,Verifica della congruenza dei modelli informativi rispetto agli elaborati 2D costituenti il pacchetto progettuale.
X,Clash detection,Verifica delle interferenze geometriche dei modelli (LC1 e LC2).
X,ACDat,Controlli relativi all'ambiente ACDat.
X,Collegamenti modello nativo,Controlli relativi a collegamenti quali modelli NATIVO; elaborati DWG; elaborati PDF; ecc.
X,Georeferenziazione e orientamento,Controlli relativi al sistema di coordinate adottato e al coordinamento e posizionamento geografico dei modelli informativi tra loro.
X,Griglie e livelli,Controlli relativi al numero, posizionamento e utilizzo di griglie e livelli.
,Infocad,Controlli relativi all'integrazione di parametri da Infocad.
X,Integrità e pulizia file,Controlli relativi all'integrità e pulizia del file consegnato.
X,Verifica informativa,Controlli relativi al contenuto informativo strutturato.
X,Verifica LOIN geometrico,Verifica a campione dell'adeguatezza del LOIN geometrico nei modelli informativi
X,Naming Convention,Controlli relativi alla nomenclatura di file, oggetti, elementi e parametri.
X,Regole di modellazione,Controlli relativi alle modalità di modellazione.
X,Regole specifiche modellazione impiantistica,Controlli relativi alle modalità di modellazione MEP.
X,Unità di misura,Controlli relativi all'impostazione dell'unità di misura.
