In/Out,ID,Raggruppamento,Descrizione,Formato,Percentuale
X,21,Integrità e pulizia file,I file nativo e IFC rispettano la dimensione limite di 200 Mb,Nativo + ifc,0%
X,22,Integrità e pulizia file,I file nativo e IFC sono salvati nella versione e nel formato previsti dal pGI,Nativo + ifc,0%
X,23,Integrità e pulizia file,Presenza a modello di tutti gli elaborati prodotti correttamente rinominati rispetto alle indicazioni del pGI ,Nativo,0%
X,24,Integrità e pulizia file,Non sono presenti elementi completamente sovrapposti tra loro,ifc,0%
X,25,Integrità e pulizia file,Le IfcClass e i PredefinedType sono correttamente mappati rispetto alle categorie degli elementi del file nativo. Come da mappatura allegata al pGI e presente nel PIR,ifc,0%
X,26,Integrità e pulizia file,Impostazione vista "Starting View" in modello con informazioni relative al progetto tra cui revisione del modello e ultime modifiche,Nativo,0%
,27,Integrità e pulizia file,Non sono presenti viste "di lavoro" nel modello nativo,Nativo,0%
,28,Integrità e pulizia file,Non sono presenti collegamenti inutilizzati,Nativo,0%
,29,Integrità e pulizia file,Controllare che i "warning" relativi al modello rientrino nelle tolleranze indicate nel pGI e non abbiano impatti critici sull'integrità del file,Nativo,0%
X,30,Integrità e pulizia file,Non sono presenti livelli inutilizzati e/o superflui,ifc,0%
X,31,Integrità e pulizia file,Non sono presenti elementi in classe IfcBuildingElementProxy non preventivamente concordati con AdB,ifc,0%
,32,Integrità e pulizia file,Assenza di geometria tridimensionale nei modelli dedicati al layouting degli elaborati,Nativo,0%
,33,Integrità e pulizia file,Assenza di elementi inutilizzati (eseguito il "purge"),Nativo,0%
X,34,Integrità e pulizia file,I workset sono stati eliminati dal modello di consegna,Nativo,0%
X,35,Integrità e pulizia file,Tutti i parametri aggiunti nel modello utilizzano il medesimo file per i parametri condivisi  ,ifc,0%
X,36,Integrità e pulizia file,Il file IFC contiene tutte le geometrie presenti nel corrispettivo file nativo (a meno di quelle non esportate volontariamente),Nativo + ifc,0%
