Nome Parametro,ID Elemento,Verifica,Stato
1930x1000,66687,Inclinazione Base_Lato1,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Inclinazione Base_Lato2,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Larghezza Pannello,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Altezza Pannello,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Altezza Cordolo,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Spessore Pannello,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Spessore Scalinature,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Spessore Cordolo,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Numero scalanature,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Spessore Pannello CLS Tipo laterizio,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Lrghezza Scalanatura,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Vuoto_Visibilità,Lunghezza nome parametro non conforme.,0
1930x1000,66687,Porta parallela_Larghezza,Lunghezza nome parametro non conforme.,0
1930x1000,66687,MTL_Pannello Interno,Lunghezza nome parametro non conforme.,0
1930x1000,66687,MTL_Pannello Esterno,Lunghezza nome parametro non conforme.,0
1930x1000,66687,MTL_Base,Lunghezza nome parametro non conforme.,0
1930x1000,66687,MTL_Pannello faccia a vista,Lunghezza nome parametro non conforme.,0
Standard,507007,Pilastro_Altezza,Lunghezza nome parametro non conforme.,0
Standard,507007,Piastra_Spazio,Lunghezza nome parametro non conforme.,0
Standard,507007,Pilastro_Lato 1,Lunghezza nome parametro non conforme.,0
Standard,507007,Pilastro_Lato 2,Lunghezza nome parametro non conforme.,0
Standard,507007,HEA 180_Visibilità,Lunghezza nome parametro non conforme.,0
Standard,507007,HEB 180_Visibilità,Lunghezza nome parametro non conforme.,0
Standard,507007,HEM 180_Visibilità,Lunghezza nome parametro non conforme.,0
Standard,507007,MTL_Montante,Lunghezza nome parametro non conforme.,0
Standard,507007,MTL_Tirafondi,Lunghezza nome parametro non conforme.,0
Standard,79363,Porta parallela_Larghezza,Lunghezza nome parametro non conforme.,0
Standard,79363,Porta parallela_Spessore,Lunghezza nome parametro non conforme.,0
Standard,79363,Porta parallela_Altezza,Lunghezza nome parametro non conforme.,0
Standard,79363,Maniglione_Altezza,Lunghezza nome parametro non conforme.,0
Standard,79363,Pannello_Larghezza,Lunghezza nome parametro non conforme.,0
Standard,408324,Pilastro_Altezza,Lunghezza nome parametro non conforme.,0
Standard,408324,Piastra_Spazio,Lunghezza nome parametro non conforme.,0
Standard,408324,Pilastro_Lato 1,Lunghezza nome parametro non conforme.,0
Standard,408324,Pilastro_Lato 2,Lunghezza nome parametro non conforme.,0
Standard,408324,HEA 180_Visibilità,Lunghezza nome parametro non conforme.,0
Standard,408324,HEB 180_Visibilità,Lunghezza nome parametro non conforme.,0
Standard,408324,HEM 180_Visibilità,Lunghezza nome parametro non conforme.,0
Standard,408324,MTL_Montante,Lunghezza nome parametro non conforme.,0
Standard,408324,MTL_Tirafondi,Lunghezza nome parametro non conforme.,0
2800X400,86790,h,Lunghezza nome parametro non conforme.,0
2800X400,86790,b,Lunghezza nome parametro non conforme.,0
2800X400,86790,Larghezza,Lunghezza nome parametro non conforme.,0
2800X400,86790,Profondità,Lunghezza nome parametro non conforme.,0
800x500,178183,h,Lunghezza nome parametro non conforme.,0
800x500,178183,b,Lunghezza nome parametro non conforme.,0
800x500,178183,Larghezza,Lunghezza nome parametro non conforme.,0
800x500,178183,Profondità,Lunghezza nome parametro non conforme.,0
1200x500,52106,h,Lunghezza nome parametro non conforme.,0
1200x500,52106,b,Lunghezza nome parametro non conforme.,0
1930x4000,66699,Pannello_Spessore,Lunghezza nome parametro non conforme.,0
1930x4000,66699,Pannello_Larghezza,Lunghezza nome parametro non conforme.,0
1930x4000,66699,Pannello_Altezza,Lunghezza nome parametro non conforme.,0
1930x4000,66699,Pannelli_Interasse,Lunghezza nome parametro non conforme.,0
1930x4000,66699,Corrente Inf_Larghezza,Lunghezza nome parametro non conforme.,0
1930x4000,66699,MTL_Pannello PMMA,Lunghezza nome parametro non conforme.,0
1930x4000,66699,MTL_Telaio PMMA,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello_Larghezza Totale,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello1_Altezza,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello2_Altezza,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello3_Altezza,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello4_Altezza,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello5_Altezza,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello3_Base,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello2_Base,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello4_Base,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Pannello5_Base,Lunghezza nome parametro non conforme.,0
P3_2000x5000_Porta,143500,Porta parallela_Visibilità,Lunghezza nome parametro non conforme.,0
2600x500,289679,Pannello_Spessore,Lunghezza nome parametro non conforme.,0
2600x500,289679,Pannello_Larghezza,Lunghezza nome parametro non conforme.,0
2600x500,289679,Pannello_Spessore2,Lunghezza nome parametro non conforme.,0
2600x500,289679,Pannello_Altezza,Lunghezza nome parametro non conforme.,0
2600x500,289679,Pannello forato,Lunghezza nome parametro non conforme.,0
2600x500,289679,Fori_Numero in verticale,Lunghezza nome parametro non conforme.,0
2600x500,289679,Pannello_Larghezza_Foro,Lunghezza nome parametro non conforme.,0
2600x500,289679,Pannello forato 2,Lunghezza nome parametro non conforme.,0
2600x500,219536,L,Lunghezza nome parametro non conforme.,0
P2_Calata02,463122,Pannello_Larghezza Totale,Lunghezza nome parametro non conforme.,0
P2_Calata02,463122,Pannello1_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata02,463122,Pannello2_Base,Lunghezza nome parametro non conforme.,0
P2_Calata02,463122,Corrente Superiore_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata02,463122,MTL_Scossalina,Lunghezza nome parametro non conforme.,0
P2_Calata03,463125,Pannello_Larghezza Totale,Lunghezza nome parametro non conforme.,0
P2_Calata03,463125,Pannello1_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata03,463125,Pannello2_Base,Lunghezza nome parametro non conforme.,0
P2_Calata03,463125,Corrente Superiore_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata03,463125,MTL_Scossalina,Lunghezza nome parametro non conforme.,0
1200X500,88215,h,Lunghezza nome parametro non conforme.,0
1200X500,88215,b,Lunghezza nome parametro non conforme.,0
P2_Calata04,463128,Pannello_Larghezza Totale,Lunghezza nome parametro non conforme.,0
P2_Calata04,463128,Pannello1_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata04,463128,Pannello2_Base,Lunghezza nome parametro non conforme.,0
P2_Calata04,463128,Corrente Superiore_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata04,463128,MTL_Scossalina,Lunghezza nome parametro non conforme.,0
500x200,321180,h,Lunghezza nome parametro non conforme.,0
500x200,321180,b,Lunghezza nome parametro non conforme.,0
4M27,408365,Pilastro_Altezza,Lunghezza nome parametro non conforme.,0
4M27,408365,Piastra_Spazio,Lunghezza nome parametro non conforme.,0
4M27,408365,Pilastro_Lato 1,Lunghezza nome parametro non conforme.,0
4M27,408365,Pilastro_Lato 2,Lunghezza nome parametro non conforme.,0
4M27,408365,HEA 180_Visibilità,Lunghezza nome parametro non conforme.,0
4M27,408365,HEB 180_Visibilità,Lunghezza nome parametro non conforme.,0
4M27,408365,HEM 180_Visibilità,Lunghezza nome parametro non conforme.,0
4M27,408365,MTL_Montante,Lunghezza nome parametro non conforme.,0
4M27,408365,MTL_Tirafondi,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_Larghezza Totale,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello1_Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello2_Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello3_Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello4_Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello5_Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello3_Base,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello2_Base,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello4_Base,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello5_Base,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Porta parallela_Visibilità,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Visibilità pannello 7,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Visibilità pannello 8,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_6 Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_6 Base,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_7 Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_7 Base,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_8 Altezza,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_8 Base,Lunghezza nome parametro non conforme.,0
P9_2660x5000,289711,Pannello_9 Altezza,Lunghezza nome parametro non conforme.,0
