Famiglia e Tipo,ID Elemento,Categoria,Verifica,Stato
Pavimento: ARC_PAV_PRE_Gen100_100mm,175136,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen50_50mm,358403,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,389634,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,389670,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,389755,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,685601,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen5_5mm,688128,Pavimenti,Troppo Alto,0
,720955,Autodesk.Revit.DB.Category,ELEMENTO NON VERIFICABILE,0
Pavimento: ARC_PAV_PRE_Gen160_160mm,815764,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen160_160mm,817830,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen40_40mm,819943,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen5_5mm,874350,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen5_5mm,938915,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen5_5mm,939029,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen5_5mm,939351,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen5_5mm,939474,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen5_5mm,939579,Pavimenti,Troppo Alto,0
Pavimento: ARC_PAV_PRE_Gen300_300mm,981000,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,982210,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,987313,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1148573,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1148817,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1149081,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1149088,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1180599,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1180707,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1202440,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1224923,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1228712,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1229014,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1229021,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1229028,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1229035,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1237731,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237737,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237744,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237771,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237778,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1237807,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1237815,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1237846,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237854,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237861,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237868,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237875,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1237916,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237922,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237929,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237956,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1237963,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1237992,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238000,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238031,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238039,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238046,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238053,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238060,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238655,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238661,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238668,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238692,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238699,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238728,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238736,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238767,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238775,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238781,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238788,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238795,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1241916,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241922,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241929,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241953,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241960,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1241989,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1241997,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242028,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242036,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242042,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242049,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242056,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242798,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242804,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242811,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242835,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242842,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242871,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242879,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242910,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242918,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242924,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242931,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242938,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243402,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243408,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243415,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243439,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243446,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243475,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243483,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243514,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243522,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243528,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243535,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243542,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244161,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244167,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244174,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244198,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244205,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244234,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244242,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244273,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244281,Pavimenti,Verificato,1
