Famiglia e Tipo,ID Elemento,Verifica,Stato
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217172,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217173,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217174,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217175,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217176,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_250x200,2217177,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217178,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217179,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217180,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217181,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217182,Pilastri strutturali,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2217183,Pilastri strutturali,Verificato,1
STR_TRA_CTR_Acc_RettangolareX: STR_TRA_CTR_Acc_RettangolareX_2390x2350,2226873,Telaio strutturale,Verificato,1
STR_TRA_CTR_Acc_RettangolareX: STR_TRA_CTR_Acc_RettangolareX_2390x2350,2228503,Telaio strutturale,Verificato,1
STR_TRA_CTR_Acc_RettangolareX: STR_TRA_CTR_Acc_RettangolareX_2390x2350,2228603,Telaio strutturale,Verificato,1
STR_TRA_CTR_Acc_RettangolareX: STR_TRA_CTR_Acc_RettangolareX_2390x2350,2231947,Telaio strutturale,Verificato,1
ARC_COL_PIL_Leg_Rettangolare: ARC_COL_PIL_Leg_Rettangolare_200x200,2296814,Pilastri strutturali,Verificato,1
