Categoria,Famiglia,Id Elemento,Stato
Cartigli,A22_TavolaIniziale,26888,1
Telaio strutturale,CF-CR-Cordolo-01,46741,1
Telaio strutturale,CF-CR-Cordolo-01,48361,1
Telaio strutturale,CF-CR-Cordolo-01,48847,1
Telaio strutturale,CF-CR-Cordolo-01,49120,1
Telaio strutturale,CF-CR-Cordolo-01,49258,1
Telaio strutturale,CF-CR-Cordolo-01,49379,1
Telaio strutturale,CF-CR-Cordolo-01,49508,1
Telaio strutturale,CF-CR-Cordolo-01,49656,1
Telaio strutturale,MF-CR-CordoloPonticello-02,50600,1
Arredi fissi,BR-BR-Terminale-01,67243,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,67244,1
Pilastri,BR-MN-Montante-01,67245,1
Arredi fissi,BR-PA-PannelloPMMA-01,67246,1
Pilastri,BR-MN-Montante-01,67456,1
Arredi fissi,BR-BR-Terminale-01,67659,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,67660,1
Pilastri,BR-MN-Montante-01,67661,1
Arredi fissi,BR-PA-PannelloPMMA-01,67662,1
Arredi fissi,BR-BR-Terminale-01,67832,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,67833,1
Pilastri,BR-MN-Montante-01,67834,1
Arredi fissi,BR-PA-PannelloPMMA-01,67835,1
Arredi fissi,BR-BR-Terminale-01,67984,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,67985,1
Pilastri,BR-MN-Montante-01,67986,1
Arredi fissi,BR-PA-PannelloPMMA-01,67987,1
Arredi fissi,BR-BR-Terminale-02,68365,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,68366,1
Pilastri,BR-MN-Montante-01,68367,1
Arredi fissi,BR-PA-PannelloPMMA-01,68368,1
Arredi fissi,BR-BR-Terminale-02,68511,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,68512,1
Pilastri,BR-MN-Montante-01,68513,1
Arredi fissi,BR-PA-PannelloPMMA-01,68514,1
Arredi fissi,BR-BR-Terminale-02,68669,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,68670,1
Pilastri,BR-MN-Montante-01,68671,1
Arredi fissi,BR-PA-PannelloPMMA-01,68672,1
Arredi fissi,BR-BR-Terminale-02,68680,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,68681,1
Pilastri,BR-MN-Montante-01,68682,1
Arredi fissi,BR-PA-PannelloPMMA-01,68683,1
Arredi fissi,BR-BR-Barriera-01,68691,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,68692,1
Arredi fissi,BR-PA-PannelloLegno-01,68694,1
Arredi fissi,BR-BR-Barriera-01,68702,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,68703,1
Pilastri,BR-MN-Montante-01,68704,1
Arredi fissi,BR-PA-PannelloLegno-01,68705,1
Arredi fissi,BR-BR-Barriera-01,68713,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,68714,1
Pilastri,BR-MN-Montante-01,68715,1
Arredi fissi,BR-PA-PannelloLegno-01,68716,1
Arredi fissi,BR-PA-PannelloLegno-01,80050,1
Arredi fissi,BR-PA-PannelloLegno-01,80179,1
Arredi fissi,BR-PA-PannelloLegno-01,80180,1
Arredi fissi,BR-PA-PannelloLegno-01,80181,1
Arredi fissi,BR-PA-PannelloLegno-01,80182,1
Arredi fissi,BR-PA-PannelloLegno-01,80289,1
Arredi fissi,BR-PA-PannelloPolicarbonato-01,80290,1
Arredi fissi,BR-PA-PannelloPolicarbonato-01,80326,1
Arredi fissi,BR-PA-PannelloPolicarbonato-01,80327,1
Arredi fissi,BR-BR-Barriera-01,80584,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,80585,1
Pilastri,BR-MN-Montante-01,80586,1
Arredi fissi,BR-PA-PannelloLegno-01,80587,1
Arredi fissi,BR-PA-PannelloLegno-01,80588,1
Arredi fissi,BR-PA-PannelloLegno-01,80589,1
Arredi fissi,BR-PA-PannelloPolicarbonato-01,80590,1
Arredi fissi,BR-BR-Barriera-01,80620,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,80621,1
Pilastri,BR-MN-Montante-01,80622,1
Arredi fissi,BR-PA-PannelloLegno-01,80623,1
Arredi fissi,BR-PA-PannelloLegno-01,80624,1
Arredi fissi,BR-PA-PannelloLegno-01,80625,1
Arredi fissi,BR-PA-PannelloPolicarbonato-01,80626,1
Arredi fissi,BR-BR-Barriera-01,80657,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,80658,1
Pilastri,BR-MN-Montante-01,80659,1
Arredi fissi,BR-PA-PannelloLegno-01,80660,1
Arredi fissi,BR-PA-PannelloLegno-01,80661,1
Arredi fissi,BR-PA-PannelloLegno-01,80662,1
Arredi fissi,BR-PA-PannelloPolicarbonato-01,80663,1
Arredi fissi,BR-BR-Barriera-01,80686,1
Arredi fissi,BR-PA-PannelloCalcestruzzo-01,80687,1
Pilastri,BR-MN-Montante-01,80688,1
Arredi fissi,BR-PA-PannelloLegno-01,80689,1
Arredi fissi,BR-PA-PannelloLegno-01,80690,1
Arredi fissi,BR-PA-PannelloLegno-01,80691,1
Arredi fissi,BR-PA-PannelloPolicarbonato-01,80692,1
