In/out,Raggruppamento,Descrizione,Modalità,Formato,Percentuale,Stato
X,pGI e Allegati,Verifica generale del Piano di Gestione Informativa e degli Allegati,,-,0%,0
X,Elaborati Progettuali,Verifica coerenza generale dei Modelli ed elaborati,,-,0%,0
X,Clash Detection,Verifica delle interferenze geometriche tra modelli,,ifc,0%,0
X,Point Cloud,Verifica coerenza tra modelli e Nuvola di punti,,Nativo,0%,0
X,ACDat,Verifica e gestione dei file caricati in ACDat,,Nativo + ifc,0%,0
X,Collegamenti Modello Nativo,Verifica dei collegamenti e compatibilità tra i file nativi,,Nativo,0%,0
X,Georeferenziazione e Orientamento,Verifica del sistema di coordinate e orientamento del modello,,Nativo + ifc,0%,0
X,Griglie e livelli,Verifica dei livelli e delle griglie rispetto alle specifiche,,Nativo,0%,0
X,Integrità e pulizia file,Controllo e gestione dell'integrità dei file nativi e IFC,,Nativo + ifc,0%,0
X,InfoCad,Verifica e valorizzazione dei parametri informativi in Infocad,,ifc,0%,0
X,Verifica Informativa,Verifica dei parametri informativi e di progetto nel modello,,ifc,0%,0
X,Naming Convention,Controllo della corretta applicazione delle convenzioni di naming nel modello,,ifc,0%,0
X,Regole di modellazione,Verifica delle regole generali di modellazione per il progetto,,ifc,0%,0
X,Regole specifiche modellazione impiantistica,Verifica delle regole di modellazione impiantistica,,Nativo,0%,0
X,Unità di misura,Verifica dell'adozione delle unità di misura del Sistema metrico internazionale,,Nativo + ifc,0%,0
